,yearID,teamID,R_per_game,HR_per_game,W_percentage,BB_per_game,SB_per_game
176,1969,PHI,3.981481481,0.845679012,0.388888889,3.388888889,0.450617284
177,1969,PIT,4.475308642,0.734567901,0.543209877,2.802469136,0.456790123
178,1969,SDN,2.888888889,0.611111111,0.320987654,2.611111111,0.277777778
179,1969,SE1,3.920245399,0.766871166,0.392638037,3.840490798,1.024539877
180,1969,SFN,4.401234568,0.839506173,0.555555556,4.388888889,0.438271605
181,1969,SLN,3.672839506,0.555555556,0.537037037,3.104938272,0.537037037
182,1969,WS2,4.283950617,0.913580247,0.530864198,3.888888889,0.320987654
183,1970,ATL,4.543209877,0.987654321,0.469135802,3.222222222,0.358024691
184,1970,BAL,4.888888889,1.104938272,0.666666667,4.425925926,0.518518519
185,1970,BOS,4.851851852,1.25308642,0.537037037,3.666666667,0.308641975
186,1970,CAL,3.895061728,0.703703704,0.530864198,2.759259259,0.425925926
187,1970,CHA,3.907407407,0.759259259,0.345679012,2.944444444,0.327160494
188,1970,CHN,4.975308642,1.104938272,0.518518519,3.74691358,0.240740741
189,1970,CIN,4.783950617,1.179012346,0.62962963,3.37654321,0.709876543
190,1970,CLE,4.00617284,1.12962963,0.469135802,3.104938272,0.154320988
191,1970,DET,4.111111111,0.913580247,0.487654321,4.049382716,0.179012346
192,1970,HOU,4.592592593,0.796296296,0.487654321,3.691358025,0.703703704
193,1970,KCA,3.771604938,0.598765432,0.401234568,3.172839506,0.598765432
194,1970,LAN,4.652173913,0.540372671,0.540372671,3.360248447,0.857142857
195,1970,MIN,4.592592593,0.944444444,0.604938272,3.092592593,0.351851852
196,1970,ML4,3.760736196,0.773006135,0.398773006,3.63190184,0.558282209
197,1970,MON,4.240740741,0.839506173,0.450617284,4.067901235,0.401234568
198,1970,NYA,4.171779141,0.680981595,0.570552147,3.607361963,0.644171779
199,1970,NYN,4.290123457,0.740740741,0.512345679,4.222222222,0.728395062
200,1970,OAK,4.185185185,1.055555556,0.549382716,3.604938272,0.808641975
201,1970,PHI,3.689440994,0.627329193,0.453416149,3.223602484,0.447204969
202,1970,PIT,4.5,0.802469136,0.549382716,2.740740741,0.407407407
203,1970,SDN,4.203703704,1.061728395,0.388888889,3.086419753,0.37037037
204,1970,SFN,5.12962963,1.018518519,0.530864198,4.5,0.512345679
205,1970,SLN,4.592592593,0.697530864,0.469135802,3.512345679,0.722222222
206,1970,WS2,3.864197531,0.851851852,0.432098765,3.919753086,0.444444444
207,1971,ATL,3.969135802,0.944444444,0.50617284,2.679012346,0.351851852
208,1971,BAL,4.696202532,1,0.639240506,4.253164557,0.417721519
209,1971,BOS,4.265432099,0.99382716,0.524691358,3.407407407,0.314814815
210,1971,CAL,3.154320988,0.592592593,0.469135802,2.722222222,0.444444444
211,1971,CHA,3.808641975,0.851851852,0.487654321,3.469135802,0.512345679
212,1971,CHN,3.932098765,0.790123457,0.512345679,3.25308642,0.271604938
213,1971,CIN,3.617283951,0.851851852,0.487654321,2.703703704,0.364197531
214,1971,CLE,3.351851852,0.672839506,0.37037037,2.882716049,0.351851852
215,1971,DET,4.327160494,1.104938272,0.561728395,3.333333333,0.216049383
